period,u_to_u,se1,se2,u_to_g,se3,se4,u_to_e,se5,se6,u_to_psi,se7,se8,g_to_u,se9,se10,g_to_g,se11,se12,g_to_e,se13,se14,g_to_psi,se15,se16,e_to_u,se17,se18,e_to_g,se19,se20,e_to_e,se21,se22,e_to_psi,se23,se24,psi_to_u,se25,se26,psi_to_g,se27,se28,psi_to_e,se29,se30,psi_to_psi,se31,se32
1,0.765392,0.872672,0.658112,0.729403,0.862043,0.596763,-0.064975,0.056725,-0.186675,-0.676718,-0.459598,-0.893838,-0.128903,0.128017,-0.385823,4.628277,5.080677,4.175877,-0.180856,0.162824,-0.524536,-1.883614,-1.123134,-2.644094,0.330676,0.376256,0.285096,0.315128,0.374288,0.255968,0.463952,0.530072,0.397832,-0.292366,-0.172706,-0.412026,0.076097,0.204997,-0.052803,0.072519,0.196799,-0.051761,0.106767,0.277647,-0.064113,1.111978,1.211918,1.012038
2,0.685089,0.880669,0.489509,0.927792,1.138772,0.716812,-0.40555,-0.21115,-0.59995,-0.566572,-0.297892,-0.835252,1.292727,2.003207,0.582247,5.093561,5.909081,4.278041,-1.404878,-0.690078,-2.119678,-1.512043,-0.408683,-2.615403,0.343248,0.442408,0.244088,0.446092,0.553912,0.338272,0.191139,0.298899,0.083379,-0.306376,-0.153876,-0.458876,0.092003,0.258663,-0.074657,-0.005797,0.157323,-0.168917,0.264402,0.438382,0.090422,0.637502,0.790782,0.484222
3,0.743524,1.008764,0.478284,0.858761,1.137181,0.580341,-0.543517,-0.277017,-0.810017,-0.593072,-0.281192,-0.904952,1.167732,2.176692,0.158772,4.44731,5.52247,3.37215,-1.731005,-0.702085,-2.759925,-1.485174,-0.264674,-2.705674,0.312717,0.442477,0.182957,0.507225,0.646565,0.367885,0.033954,0.170034,-0.102126,-0.263761,-0.092901,-0.434621,0.041544,0.224564,-0.141476,0.051268,0.236048,-0.133512,0.017306,0.218626,-0.184014,0.691119,0.865519,0.516719
4,0.55476,0.88482,0.2247,0.7973,1.10198,0.49262,-0.694322,-0.355842,-1.032802,-0.522509,-0.164989,-0.880029,0.531117,1.788517,-0.726283,4.086328,5.256208,2.916448,-2.27818,-0.97192,-3.58444,-1.357219,0.037881,-2.752319,0.320268,0.485968,0.154568,0.536415,0.689315,0.383515,-0.042168,0.136332,-0.220668,-0.271124,-0.068884,-0.473364,0.391247,0.617387,0.165107,0.324862,0.515802,0.133922,0.383479,0.627039,0.139919,0.344788,0.592448,0.097128
5,0.442216,0.783496,0.100936,0.667617,0.993957,0.341277,-0.665521,-0.346561,-0.984481,-0.524233,-0.164593,-0.883873,0.373203,1.673383,-0.926977,3.223685,4.459025,1.988345,-2.108782,-0.883362,-3.334202,-1.236558,0.152602,-2.625718,0.231736,0.398556,0.064916,0.472669,0.635429,0.309909,-0.09115,0.06801,-0.25031,-0.279644,-0.086104,-0.473184,0.335193,0.521173,0.149213,0.370234,0.553534,0.186934,0.089508,0.256428,-0.077412,0.2745,0.49146,0.05754
6,0.307601,0.660761,-0.045559,0.488568,0.828008,0.149128,-0.670423,-0.357823,-0.983023,-0.463686,-0.095946,-0.831426,-0.177565,1.111935,-1.467065,2.118304,3.373204,0.863404,-2.027587,-0.898747,-3.156427,-1.004518,0.364222,-2.373258,0.166618,0.339598,-0.006362,0.397203,0.567403,0.227003,-0.114498,0.044442,-0.273438,-0.267933,-0.072573,-0.463293,0.332131,0.523391,0.140871,0.424094,0.613874,0.234314,0.029628,0.202428,-0.143172,0.198265,0.427685,-0.031155
7,0.16162,0.51954,-0.1963,0.325661,0.671801,-0.020479,-0.629502,-0.318722,-0.940282,-0.402243,-0.022683,-0.781803,-0.733959,0.562441,-2.030359,1.147174,2.402714,-0.108366,-1.83944,-0.72872,-2.95016,-0.692722,0.713218,-2.098662,0.091673,0.271593,-0.088247,0.318353,0.492953,0.143753,-0.120164,0.039576,-0.279904,-0.24528,-0.047,-0.44356,0.356342,0.555702,0.156982,0.470781,0.664641,0.276921,-0.028067,0.161353,-0.217487,0.111106,0.358146,-0.135934
8,0.054589,0.403649,-0.294471,0.166775,0.518395,-0.184845,-0.591633,-0.283153,-0.900113,-0.321082,0.071338,-0.713502,-1.054048,0.176132,-2.284228,0.281867,1.541007,-0.977273,-1.511777,-0.429597,-2.593957,-0.372531,1.071209,-1.816271,0.013368,0.188748,-0.162012,0.218519,0.395599,0.041439,-0.12867,0.02769,-0.28503,-0.206559,-0.007079,-0.406039,0.278314,0.466994,0.089634,0.430174,0.630354,0.229994,-0.083251,0.091729,-0.258231,0.04531,0.28205,-0.19143
9,-0.036197,0.303723,-0.376117,0.020026,0.374626,-0.334574,-0.525862,-0.217242,-0.834482,-0.244107,0.157713,-0.645927,-1.350739,-0.181779,-2.519699,-0.48725,0.77579,-1.75029,-1.174116,-0.100296,-2.247936,-0.062801,1.402619,-1.528221,-0.0496,0.1201,-0.2193,0.123058,0.300478,-0.054362,-0.113803,0.040537,-0.268143,-0.163684,0.037196,-0.364564,0.235484,0.426144,0.044824,0.38751,0.59161,0.18341,-0.116656,0.059484,-0.292796,0.006679,0.241259,-0.227901
10,-0.099233,0.230087,-0.428553,-0.100069,0.253971,-0.454109,-0.459118,-0.151798,-0.766438,-0.170608,0.232072,-0.573288,-1.496899,-0.374219,-2.619579,-1.056091,0.204109,-2.316291,-0.822722,0.242378,-1.887822,0.221787,1.669807,-1.226233,-0.099676,0.063564,-0.262916,0.038083,0.213703,-0.137537,-0.088478,0.063282,-0.240238,-0.122913,0.076807,-0.322633,0.175295,0.368675,-0.018085,0.337603,0.542343,0.132863,-0.128454,0.049306,-0.306214,-0.02281,0.20775,-0.25337
