period,gr_to_gr,se1,se2,gr_to_gn,se3,se4,gr_to_u,se5,se6,gr_to_e,se7,se8,gr_to_psi,se9,se10,gn_to_gr,se11,se12,gn_to_gn,se13,se14,gn_to_u,se15,se16,gn_to_e,se17,se18,gn_to_psi,se19,se20,u_to_gr,se21,se22,u_to_gn,se23,se24,u_to_u,se25,se26,u_to_e,se27,se28,u_to_psi,se29,se30,e_to_gr,se31,se32,e_to_gn,se33,se34,e_to_u,se35,se36,e_to_e,se37,se38,e_to_psi,se39,se40,psi_to_gr,se41,se42,psi_to_gn,se43,se44,psi_to_u,se45,se46,psi_to_e,se47,se48,psi_to_psi,se49,se50
1,4.202242,4.666762,3.737722,-0.660162,0.161138,-1.481462,-0.567887,0.320293,-1.456067,-0.103912,0.170568,-0.378392,-1.017313,-0.363633,-1.670993,0.486496,0.703236,0.269756,1.332534,1.790034,0.875034,1.019889,1.235309,0.804469,0.064781,0.316521,-0.186959,-1.091784,-0.403184,-1.780384,0.32384,0.46794,0.17974,-0.24957,0.05109,-0.55023,0.700998,1.004358,0.397638,-0.055968,0.115472,-0.227408,-0.746583,-0.492523,-1.000643,0.19705,0.27931,0.11479,-0.122258,0.034702,-0.279218,0.315595,0.439555,0.191635,0.463369,0.554689,0.372049,-0.35474,-0.18516,-0.52432,0.126787,0.326067,-0.072493,0.271183,0.491343,0.051023,0.254589,0.579529,-0.070351,0.067129,0.255169,-0.120911,0.948238,1.131218,0.765258
2,5.343948,6.230528,4.457368,-1.460257,-0.385557,-2.534957,-1.241237,0.059723,-2.542197,-1.198533,-0.500633,-1.896433,-0.681077,0.256663,-1.618817,0.840156,1.225076,0.455236,1.470931,2.124511,0.817351,1.237146,1.681706,0.792586,-0.446827,-0.019667,-0.873987,-1.401949,-0.546349,-2.257549,0.50111,0.70159,0.30063,-0.02518,0.29006,-0.34042,0.5185,0.84132,0.19568,-0.399149,-0.184069,-0.614229,-0.670083,-0.392703,-0.947463,0.218888,0.334708,0.103068,-0.007076,0.178624,-0.192776,0.321224,0.477644,0.164804,0.169846,0.298666,0.041026,-0.378442,-0.190102,-0.566782,0.047311,0.230471,-0.135849,0.119626,0.311046,-0.071794,0.129108,0.373588,-0.115372,0.21591,0.39791,0.03391,0.55502,0.72898,0.38106
3,5.540054,6.844074,4.236034,-2.39047,-1.12809,-3.65285,-2.467907,-0.902187,-4.033627,-2.110305,-0.987865,-3.232745,0.158582,1.535762,-1.218598,1.2421,1.7656,0.7186,1.515183,2.305303,0.725063,1.096759,1.715419,0.478099,-0.776336,-0.191696,-1.360976,-1.529073,-0.605013,-2.453133,0.631368,0.885888,0.376848,-0.148011,0.194809,-0.490831,0.338874,0.727954,-0.050206,-0.556709,-0.286709,-0.826709,-0.665297,-0.398937,-0.931657,0.275965,0.409265,0.142665,-0.039667,0.145553,-0.224887,0.24064,0.4154,0.06588,0.029732,0.177592,-0.118128,-0.316307,-0.143007,-0.489607,-0.127191,0.086809,-0.341191,0.228858,0.461678,-0.003962,0.202123,0.496403,-0.092157,0.040921,0.259021,-0.177179,0.645999,0.838099,0.453899
4,5.908266,7.544946,4.271586,-4.065672,-2.365912,-5.765432,-2.272421,-0.259481,-4.285361,-1.807729,-0.218169,-3.397289,0.30131,2.16099,-1.55837,1.285306,1.938086,0.632526,1.034812,1.969372,0.100252,0.995241,1.800921,0.189561,-0.904911,-0.161351,-1.648471,-1.71597,-0.77541,-2.65653,0.564482,0.861942,0.267022,-0.338857,0.012643,-0.690357,0.187722,0.601302,-0.225858,-0.673306,-0.333646,-1.012966,-0.49163,-0.18133,-0.80193,0.308214,0.459054,0.157374,-0.146629,0.069251,-0.362509,0.271703,0.481103,0.062303,0.061035,0.258935,-0.136865,-0.323139,-0.114619,-0.531659,0.172105,0.402705,-0.058495,0.177172,0.400312,-0.045968,0.375634,0.630514,0.120754,0.336843,0.599943,0.073743,0.317814,0.636534,-0.000906
5,5.613799,7.567859,3.659739,-3.66489,-1.65515,-5.67463,-3.000016,-0.901156,-5.098876,-2.746994,-0.842934,-4.651054,1.326595,3.678995,-1.025805,1.566234,2.318714,0.813754,1.010638,1.999778,0.021498,0.590374,1.496174,-0.315426,-1.324145,-0.497725,-2.150565,-1.595627,-0.603367,-2.587887,0.714019,1.051399,0.376639,-0.432905,-0.050265,-0.815545,0.104955,0.560915,-0.351005,-0.761456,-0.389816,-1.133096,-0.441336,-0.071536,-0.811136,0.343003,0.507183,0.178823,-0.144003,0.062877,-0.350883,0.138347,0.353567,-0.076873,-0.100666,0.104914,-0.306246,-0.235865,-0.026405,-0.445325,0.089935,0.333015,-0.153145,0.322038,0.559278,0.084798,0.347838,0.623678,0.071998,-0.009892,0.271648,-0.291432,0.369592,0.691732,0.047452
6,5.545266,7.763966,3.326566,-3.817703,-1.492343,-6.143063,-3.377142,-1.091602,-5.662682,-1.718007,0.481173,-3.917187,1.648746,4.370006,-1.072514,1.845656,2.692256,0.999056,0.887439,1.916519,-0.141641,-0.056995,0.915805,-1.029795,-1.387029,-0.486549,-2.287509,-1.392912,-0.362492,-2.423332,0.671557,1.043157,0.299957,-0.436762,-0.030202,-0.843322,-0.129892,0.332528,-0.592312,-0.55256,-0.15074,-0.95438,-0.421029,0.000651,-0.842709,0.385667,0.564667,0.206667,-0.206287,0.006573,-0.419147,-0.023401,0.205739,-0.252541,-0.017172,0.198428,-0.232772,-0.245707,-0.030927,-0.460487,0.231441,0.475401,-0.012519,0.216932,0.471332,-0.037468,0.226799,0.496919,-0.043321,-0.230441,0.068419,-0.529301,0.408934,0.719134,0.098734
7,5.316406,7.707546,2.925266,-3.461929,-0.858029,-6.065829,-2.683398,-0.225358,-5.141438,-0.488776,1.994524,-2.972076,1.564079,4.474019,-1.345861,1.959148,2.882428,1.035868,0.820015,1.870815,-0.230785,-0.646642,0.339118,-1.632402,-1.304794,-0.334954,-2.274634,-0.946418,0.148162,-2.040998,0.773366,1.170366,0.376366,-0.422861,0.014919,-0.860641,-0.166086,0.314534,-0.646706,-0.591942,-0.163582,-1.020302,-0.377248,0.081852,-0.836348,0.425292,0.614992,0.235592,-0.248749,-0.020929,-0.476569,-0.038406,0.203354,-0.280166,0.03293,0.26665,-0.20079,-0.220945,0.012395,-0.454285,0.289892,0.537652,0.042132,0.036875,0.303375,-0.229625,0.259345,0.525845,-0.007155,0.076937,0.391397,-0.237523,0.278026,0.608826,-0.052774
8,4.709034,7.239594,2.178474,-2.936418,-0.130838,-5.741998,-2.510815,0.043185,-5.064815,-0.65231,2.03629,-3.34091,2.009243,5.125943,-1.107457,1.935338,2.931438,0.939238,0.484774,1.575694,-0.606146,-1.034544,-0.001844,-2.067244,-1.293509,-0.259309,-2.327709,-0.635575,0.537885,-1.809035,0.642287,1.062627,0.221947,-0.379493,0.068787,-0.827773,-0.345328,0.124192,-0.814848,-0.61011,-0.15773,-1.06249,-0.223807,0.284253,-0.731867,0.383835,0.583955,0.183715,-0.199665,0.027475,-0.426805,-0.120777,0.116103,-0.357657,-0.081205,0.162595,-0.325005,-0.147962,0.097138,-0.393062,0.342559,0.590219,0.094899,0.042451,0.314211,-0.229309,0.241836,0.506676,-0.023004,0.011447,0.330387,-0.307493,0.163923,0.500443,-0.172597
9,2.447192,5.059032,-0.164648,-2.664051,0.311209,-5.639311,-2.35456,0.24214,-4.95126,0.03043,2.88667,-2.82581,2.588625,5.908265,-0.731015,1.597428,2.679888,0.514968,0.153215,1.277995,-0.971565,-1.943972,-0.907172,-2.980772,-1.435016,-0.341176,-2.528856,0.019033,1.362933,-1.324867,0.494652,0.927132,0.062172,-0.390782,0.072938,-0.854502,-0.552634,-0.120194,-0.985074,-0.489884,-0.019904,-0.959864,0.147938,0.707498,-0.411622,0.302667,0.509627,0.095707,-0.201176,0.023884,-0.426236,-0.212012,0.010488,-0.434512,-0.090427,0.159813,-0.340667,-0.028091,0.234769,-0.290951,0.313108,0.561168,0.065048,-0.023289,0.261271,-0.307849,-0.054141,0.229459,-0.337741,-0.208476,0.126024,-0.542976,-0.210761,0.107819,-0.529341
10,1.669796,4.278256,-0.938664,-2.499041,0.512739,-5.510821,-1.070713,1.547367,-3.688793,0.417885,3.310845,-2.475075,2.035174,5.376934,-1.306586,1.415702,2.548822,0.282582,-0.357287,0.832993,-1.547567,-2.146579,-1.075999,-3.217159,-1.021906,0.118754,-2.162566,0.274674,1.749354,-1.200006,0.395142,0.837942,-0.047658,-0.434417,0.053003,-0.921837,-0.623393,-0.188253,-1.058533,-0.452829,0.028991,-0.934649,0.253624,0.852664,-0.345416,0.251438,0.463958,0.038918,-0.204431,0.031169,-0.440031,-0.348032,-0.131652,-0.564412,-0.140116,0.112784,-0.393016,0.127318,0.419718,-0.165082,0.406013,0.647093,0.164933,-0.003661,0.281559,-0.288881,-0.025998,0.245822,-0.297818,-0.145772,0.185028,-0.476572,-0.07669,0.24995,-0.40333
